Date,Symbol,Open,High,Low,Close
10/12/2020,BTCUSD,11380.25,11416.75,11179.5,11262.25
10/11/2020,BTCUSD,11307,11446.5,11284.75,11380.25
10/10/2020,BTCUSD,11073.75,11489,11063,11307
10/9/2020,BTCUSD,10933,11104.75,10842.5,11073.75
10/8/2020,BTCUSD,10670.25,10958.25,10550,10933
10/7/2020,BTCUSD,10607,10687.25,10560.5,10670.25
10/6/2020,BTCUSD,10797,10800,10526.75,10607
10/5/2020,BTCUSD,10663,10797,10641.25,10797
10/4/2020,BTCUSD,10565.75,10699.5,10535.75,10663
10/3/2020,BTCUSD,10575.75,10600,10518,10565.75
10/2/2020,BTCUSD,10622,10658,10383,10575.75
10/1/2020,BTCUSD,10777,10924.5,10450,10622
9/30/2020,BTCUSD,10841.75,10849.75,10669.5,10777
9/29/2020,BTCUSD,10693.5,10867.25,10646.25,10841.75
9/28/2020,BTCUSD,10779.5,10948.25,10639.75,10693.5
9/27/2020,BTCUSD,10735,10803.25,10608,10779.5
9/26/2020,BTCUSD,10691.75,10820.75,10674.75,10735
9/25/2020,BTCUSD,10737.25,10761,10570.5,10691.75
9/24/2020,BTCUSD,10231.75,10794,10199.25,10737.25
9/23/2020,BTCUSD,10534.25,10537,10149,10231.75
9/22/2020,BTCUSD,10424,10576.75,10365,10534.25
9/21/2020,BTCUSD,10918,10985.75,10299.75,10424
9/20/2020,BTCUSD,11086.5,11086.5,10778.75,10918
9/19/2020,BTCUSD,10938.75,11164,10903.25,11086.5
9/18/2020,BTCUSD,10944.5,11026.75,10826.5,10938.75
9/17/2020,BTCUSD,10967.5,11040,10755.75,10944.5
9/16/2020,BTCUSD,10787.5,11161.5,10682,10967.5
9/15/2020,BTCUSD,10683.75,10935.25,10626.5,10787.5
9/14/2020,BTCUSD,10329,10754.75,10259.75,10683.75
9/13/2020,BTCUSD,10444.75,10571.25,10220.75,10329
9/12/2020,BTCUSD,10400,10479.75,10281.25,10444.75
9/11/2020,BTCUSD,10345,10407.5,10211.5,10400
9/10/2020,BTCUSD,10230,10481.25,10230,10345
9/9/2020,BTCUSD,10124.25,10349.25,9989.25,10230
9/8/2020,BTCUSD,10364,10442,9862.25,10124.25
9/7/2020,BTCUSD,10261.75,10404,9884.25,10364
9/6/2020,BTCUSD,10164.25,10352,10028.75,10261.75
9/5/2020,BTCUSD,10485.5,10566.5,9838.25,10164.25
9/4/2020,BTCUSD,10167.75,10630.5,9920,10485.5
9/3/2020,BTCUSD,11401.75,11475.25,10000,10167.75
9/2/2020,BTCUSD,11928.25,11950,11171.5,11401.75
9/1/2020,BTCUSD,11660.5,12054.25,11543,11928.25
8/31/2020,BTCUSD,11716.75,11774.5,11586,11660.5
8/30/2020,BTCUSD,11489.25,11716.75,11472.25,11716.75
8/29/2020,BTCUSD,11541,11580.5,11432,11489.25
8/28/2020,BTCUSD,11332.5,11548.25,11289.75,11541
8/27/2020,BTCUSD,11464,11590,11131,11332.5
8/26/2020,BTCUSD,11330.75,11543,11260.5,11464
8/25/2020,BTCUSD,11763,11767.25,11122,11330.75
8/24/2020,BTCUSD,11655,11823.75,11600.75,11763
8/23/2020,BTCUSD,11681.5,11709.5,11531.75,11655
8/22/2020,BTCUSD,11524.25,11683.25,11379.25,11681.5
8/21/2020,BTCUSD,11869,11884.5,11500.5,11524.25
8/20/2020,BTCUSD,11749,11889.5,11677,11869
8/19/2020,BTCUSD,11969,12011.75,11584,11749
8/18/2020,BTCUSD,12288,12390,11825.5,11969
8/17/2020,BTCUSD,11913.5,12471,11774.5,12288
8/16/2020,BTCUSD,11860.25,11937.25,11700,11913.5
8/15/2020,BTCUSD,11771.75,11984.75,11681.5,11860.25
8/14/2020,BTCUSD,11773.75,11856.75,11656,11771.75
8/13/2020,BTCUSD,11571.5,11797.25,11280.75,11773.75
8/12/2020,BTCUSD,11386,11620.75,11160.25,11571.5
8/11/2020,BTCUSD,11896.5,11937,11126.5,11386
8/10/2020,BTCUSD,11684,12080.75,11510.25,11896.5
8/9/2020,BTCUSD,11757.5,11807.75,11540,11684
8/8/2020,BTCUSD,11596,11808.75,11538,11757.5
8/7/2020,BTCUSD,11773.25,11914.5,11349.75,11596
8/6/2020,BTCUSD,11754.5,11911,11583.75,11773.25
8/5/2020,BTCUSD,11196.75,11792,11103.25,11754.5
8/4/2020,BTCUSD,11239.25,11418.75,11024.25,11196.75
8/3/2020,BTCUSD,11066.5,11474,10934,11239.25
8/2/2020,BTCUSD,11823.5,12108.5,10625,11066.5
8/1/2020,BTCUSD,11355.25,11885.25,11243,11823.5
7/31/2020,BTCUSD,11139.75,11454,10991,11355.25
7/30/2020,BTCUSD,11106.25,11285.25,10835,11139.75
7/29/2020,BTCUSD,10927.25,11350.75,10853,11106.25
7/28/2020,BTCUSD,11052.75,11261.25,10597,10927.25
7/27/2020,BTCUSD,9933,11400,9933,11052.75
7/26/2020,BTCUSD,9714.5,10192,9664.75,9933
7/25/2020,BTCUSD,9554.25,9742.75,9548.25,9714.5
7/24/2020,BTCUSD,9614.5,9650.75,9480.25,9554.25
7/23/2020,BTCUSD,9538,9672.25,9458,9614.5
7/22/2020,BTCUSD,9390,9562,9282.5,9538
7/21/2020,BTCUSD,9162,9434.75,9160,9390
7/20/2020,BTCUSD,9219.75,9219.75,9134.5,9162
7/19/2020,BTCUSD,9172.5,9240.5,9112.25,9219.75
7/18/2020,BTCUSD,9155,9218.25,9129.25,9172.5
7/17/2020,BTCUSD,9132,9179,9075.5,9155
7/16/2020,BTCUSD,9196,9215.75,9037,9132
7/15/2020,BTCUSD,9259.25,9274.5,9158.75,9196
7/14/2020,BTCUSD,9242.25,9279.25,9114.25,9259.25
7/13/2020,BTCUSD,9283.25,9341.5,9203,9242.25
7/12/2020,BTCUSD,9235.25,9342.5,9161.5,9283.25
7/11/2020,BTCUSD,9290.25,9299.25,9184.25,9235.25
7/10/2020,BTCUSD,9235.75,9314,9126,9290.25
7/9/2020,BTCUSD,9438,9448.75,9169.25,9235.75
7/8/2020,BTCUSD,9248.75,9474.5,9238.75,9438
7/7/2020,BTCUSD,9347.25,9379.75,9209,9248.75
7/6/2020,BTCUSD,9084,9373.5,9070.25,9347.25
7/5/2020,BTCUSD,9141,9141,8920,9084
7/4/2020,BTCUSD,9064.5,9189.75,9052.5,9141
7/3/2020,BTCUSD,9095,9120.25,9038.5,9064.5
7/2/2020,BTCUSD,9234,9261.75,8950,9095
7/1/2020,BTCUSD,9134.5,9297.75,9098,9234
6/30/2020,BTCUSD,9184.25,9199.75,9064.25,9134.5
6/29/2020,BTCUSD,9123.75,9300,9020.5,9184.25
6/28/2020,BTCUSD,9003,9185.25,8940,9123.75
6/27/2020,BTCUSD,9154.5,9186,8821.25,9003
6/26/2020,BTCUSD,9242,9288.5,9031.75,9154.5
6/25/2020,BTCUSD,9294.5,9311.75,9000,9242
6/24/2020,BTCUSD,9618.25,9662.75,9200,9294.5
6/23/2020,BTCUSD,9691,9721,9581,9618.25
6/22/2020,BTCUSD,9282.75,9788.75,9271,9691
6/21/2020,BTCUSD,9358,9420.5,9278.5,9282.75
